class,support,tp,fp,fn,precision,recall,f1
person,685,437,93,248,0.8245,0.638,0.7193
chair,119,45,30,74,0.6,0.3782,0.4639
book,75,11,7,64,0.6111,0.1467,0.2366
cup,69,29,22,40,0.5686,0.4203,0.4833
car,67,38,19,29,0.6667,0.5672,0.6129
bottle,66,19,25,47,0.4318,0.2879,0.3455
dining table,48,24,20,24,0.5455,0.5,0.5217
tie,45,12,3,33,0.8,0.2667,0.4
wine glass,44,14,3,30,0.8235,0.3182,0.459
bowl,38,21,9,17,0.7,0.5526,0.6176
broccoli,36,9,22,27,0.2903,0.25,0.2687
backpack,33,5,4,28,0.5556,0.1515,0.2381
handbag,29,4,3,25,0.5714,0.1379,0.2222
bird,28,8,10,20,0.4444,0.2857,0.3478
bus,28,15,4,13,0.7895,0.5357,0.6383
carrot,27,8,1,19,0.8889,0.2963,0.4444
boat,25,6,3,19,0.6667,0.24,0.3529
knife,24,6,4,18,0.6,0.25,0.3529
banana,23,9,4,14,0.6923,0.3913,0.5
bench,23,5,3,18,0.625,0.2174,0.3226
motorcycle,22,15,4,7,0.7895,0.6818,0.7317
kite,21,9,5,12,0.6429,0.4286,0.5143
traffic light,20,5,7,15,0.4167,0.25,0.3125
couch,19,11,6,8,0.6471,0.5789,0.6111
laptop,19,15,9,4,0.625,0.7895,0.6977
tv,19,14,4,5,0.7778,0.7368,0.7568
vase,19,7,3,12,0.7,0.3684,0.4828
remote,18,2,5,16,0.2857,0.1111,0.16
pizza,17,11,7,6,0.6111,0.6471,0.6286
truck,17,3,9,14,0.25,0.1765,0.2069
zebra,17,13,0,4,1.0,0.7647,0.8667
hot dog,15,11,0,4,1.0,0.7333,0.8462
keyboard,15,5,5,10,0.5,0.3333,0.4
potted plant,15,7,6,8,0.5385,0.4667,0.5
sandwich,15,4,1,11,0.8,0.2667,0.4
spoon,15,2,1,13,0.6667,0.1333,0.2222
surfboard,15,8,4,7,0.6667,0.5333,0.5926
elephant,14,11,5,3,0.6875,0.7857,0.7333
horse,14,12,2,2,0.8571,0.8571,0.8571
clock,13,9,2,4,0.8182,0.6923,0.75
fork,13,4,3,9,0.5714,0.3077,0.4
sheep,13,12,12,1,0.5,0.9231,0.6486
suitcase,13,10,8,3,0.5556,0.7692,0.6452
cell phone,12,4,6,8,0.4,0.3333,0.3636
bicycle,11,5,1,6,0.8333,0.4545,0.5882
frisbee,11,7,0,4,1.0,0.6364,0.7778
sink,11,7,2,4,0.7778,0.6364,0.7
skateboard,11,5,1,6,0.8333,0.4545,0.5882
bed,10,7,1,3,0.875,0.7,0.7778
cat,10,8,3,2,0.7273,0.8,0.7619
refrigerator,10,7,2,3,0.7778,0.7,0.7368
apple,9,1,7,8,0.125,0.1111,0.1176
cow,9,0,6,9,0.0,0.0,0.0
fire hydrant,9,5,1,4,0.8333,0.5556,0.6667
mouse,9,7,0,2,1.0,0.7778,0.875
tennis racket,9,7,6,2,0.5385,0.7778,0.6364
umbrella,9,4,1,5,0.8,0.4444,0.5714
donut,8,0,1,8,0.0,0.0,0.0
airplane,7,5,0,2,1.0,0.7143,0.8333
baseball glove,7,4,1,3,0.8,0.5714,0.6667
sports ball,7,3,2,4,0.6,0.4286,0.5
teddy bear,7,3,1,4,0.75,0.4286,0.5455
toilet,7,7,3,0,0.7,1.0,0.8235
train,7,5,0,2,1.0,0.7143,0.8333
dog,6,5,5,1,0.5,0.8333,0.625
skis,6,4,2,2,0.6667,0.6667,0.6667
baseball bat,4,2,1,2,0.6667,0.5,0.5714
cake,4,1,4,3,0.2,0.25,0.2222
orange,4,0,5,4,0.0,0.0,0.0
oven,4,2,1,2,0.6667,0.5,0.5714
stop sign,4,3,0,1,1.0,0.75,0.8571
bear,3,3,0,0,1.0,1.0,1.0
giraffe,3,3,0,0,1.0,1.0,1.0
microwave,3,1,0,2,1.0,0.3333,0.5
scissors,2,0,0,2,0.0,0.0,0.0
parking meter,1,0,1,1,0.0,0.0,0.0
snowboard,1,0,2,1,0.0,0.0,0.0
