class,support,tp,fp,fn,precision,recall,f1
person,685,427,107,258,0.7996,0.6234,0.7006
chair,119,44,32,75,0.5789,0.3697,0.4513
book,75,10,9,65,0.5263,0.1333,0.2128
cup,69,27,17,42,0.6136,0.3913,0.4779
car,67,36,18,31,0.6667,0.5373,0.595
bottle,66,18,27,48,0.4,0.2727,0.3243
dining table,48,25,21,23,0.5435,0.5208,0.5319
tie,45,12,4,33,0.75,0.2667,0.3934
wine glass,44,13,3,31,0.8125,0.2955,0.4333
bowl,38,20,12,18,0.625,0.5263,0.5714
broccoli,36,8,20,28,0.2857,0.2222,0.25
backpack,33,5,3,28,0.625,0.1515,0.2439
handbag,29,4,5,25,0.4444,0.1379,0.2105
bird,28,9,12,19,0.4286,0.3214,0.3673
bus,28,14,2,14,0.875,0.5,0.6364
carrot,27,8,1,19,0.8889,0.2963,0.4444
boat,25,5,4,20,0.5556,0.2,0.2941
knife,24,6,3,18,0.6667,0.25,0.3636
banana,23,8,4,15,0.6667,0.3478,0.4571
bench,23,6,6,17,0.5,0.2609,0.3429
motorcycle,22,16,2,6,0.8889,0.7273,0.8
kite,21,8,6,13,0.5714,0.381,0.4571
traffic light,20,6,7,14,0.4615,0.3,0.3636
couch,19,10,4,9,0.7143,0.5263,0.6061
laptop,19,15,10,4,0.6,0.7895,0.6818
tv,19,13,4,6,0.7647,0.6842,0.7222
vase,19,6,5,13,0.5455,0.3158,0.4
remote,18,2,6,16,0.25,0.1111,0.1538
pizza,17,14,8,3,0.6364,0.8235,0.7179
truck,17,3,9,14,0.25,0.1765,0.2069
zebra,17,13,1,4,0.9286,0.7647,0.8387
hot dog,15,11,1,4,0.9167,0.7333,0.8148
keyboard,15,5,2,10,0.7143,0.3333,0.4545
potted plant,15,7,5,8,0.5833,0.4667,0.5185
sandwich,15,2,2,13,0.5,0.1333,0.2105
spoon,15,3,1,12,0.75,0.2,0.3158
surfboard,15,9,6,6,0.6,0.6,0.6
elephant,14,12,4,2,0.75,0.8571,0.8
horse,14,10,1,4,0.9091,0.7143,0.8
clock,13,9,5,4,0.6429,0.6923,0.6667
fork,13,5,1,8,0.8333,0.3846,0.5263
sheep,13,10,10,3,0.5,0.7692,0.6061
suitcase,13,11,8,2,0.5789,0.8462,0.6875
cell phone,12,6,4,6,0.6,0.5,0.5455
bicycle,11,5,2,6,0.7143,0.4545,0.5556
frisbee,11,8,1,3,0.8889,0.7273,0.8
sink,11,6,2,5,0.75,0.5455,0.6316
skateboard,11,5,1,6,0.8333,0.4545,0.5882
bed,10,6,1,4,0.8571,0.6,0.7059
cat,10,8,1,2,0.8889,0.8,0.8421
refrigerator,10,7,1,3,0.875,0.7,0.7778
apple,9,1,6,8,0.1429,0.1111,0.125
cow,9,0,8,9,0.0,0.0,0.0
fire hydrant,9,5,0,4,1.0,0.5556,0.7143
mouse,9,7,0,2,1.0,0.7778,0.875
tennis racket,9,6,7,3,0.4615,0.6667,0.5455
umbrella,9,4,2,5,0.6667,0.4444,0.5333
donut,8,0,0,8,0.0,0.0,0.0
airplane,7,5,0,2,1.0,0.7143,0.8333
baseball glove,7,3,1,4,0.75,0.4286,0.5455
sports ball,7,3,4,4,0.4286,0.4286,0.4286
teddy bear,7,3,3,4,0.5,0.4286,0.4615
toilet,7,7,2,0,0.7778,1.0,0.875
train,7,5,1,2,0.8333,0.7143,0.7692
dog,6,5,6,1,0.4545,0.8333,0.5882
skis,6,4,1,2,0.8,0.6667,0.7273
baseball bat,4,2,1,2,0.6667,0.5,0.5714
cake,4,1,5,3,0.1667,0.25,0.2
orange,4,0,2,4,0.0,0.0,0.0
oven,4,2,1,2,0.6667,0.5,0.5714
stop sign,4,3,1,1,0.75,0.75,0.75
bear,3,3,0,0,1.0,1.0,1.0
giraffe,3,3,0,0,1.0,1.0,1.0
microwave,3,1,0,2,1.0,0.3333,0.5
scissors,2,0,0,2,0.0,0.0,0.0
parking meter,1,0,1,1,0.0,0.0,0.0
snowboard,1,0,2,1,0.0,0.0,0.0
